|UserKNNCB| iter: 0/896 | topk: 20 | shrink: 0 | sim type: 'cosine' | MAP: 0.0498 |
|UserKNNCB| iter: 1/896 | topk: 20 | shrink: 15 | sim type: 'cosine' | MAP: 0.0498 |
|UserKNNCB| iter: 2/896 | topk: 20 | shrink: 30 | sim type: 'cosine' | MAP: 0.0484 |
|UserKNNCB| iter: 3/896 | topk: 20 | shrink: 45 | sim type: 'cosine' | MAP: 0.0473 |
|UserKNNCB| iter: 4/896 | topk: 20 | shrink: 60 | sim type: 'cosine' | MAP: 0.0464 |
|UserKNNCB| iter: 5/896 | topk: 20 | shrink: 75 | sim type: 'cosine' | MAP: 0.0455 |
|UserKNNCB| iter: 6/896 | topk: 20 | shrink: 90 | sim type: 'cosine' | MAP: 0.0449 |
|UserKNNCB| iter: 7/896 | topk: 20 | shrink: 105 | sim type: 'cosine' | MAP: 0.0439 |
|UserKNNCB| iter: 8/896 | topk: 20 | shrink: 120 | sim type: 'cosine' | MAP: 0.0429 |
|UserKNNCB| iter: 9/896 | topk: 20 | shrink: 135 | sim type: 'cosine' | MAP: 0.0424 |
|UserKNNCB| iter: 10/896 | topk: 20 | shrink: 150 | sim type: 'cosine' | MAP: 0.0414 |
|UserKNNCB| iter: 11/896 | topk: 20 | shrink: 165 | sim type: 'cosine' | MAP: 0.0416 |
|UserKNNCB| iter: 12/896 | topk: 20 | shrink: 180 | sim type: 'cosine' | MAP: 0.0409 |
|UserKNNCB| iter: 13/896 | topk: 20 | shrink: 195 | sim type: 'cosine' | MAP: 0.0396 |
|UserKNNCB| iter: 14/896 | topk: 35 | shrink: 0 | sim type: 'cosine' | MAP: 0.0518 |
|UserKNNCB| iter: 15/896 | topk: 35 | shrink: 15 | sim type: 'cosine' | MAP: 0.0502 |
|UserKNNCB| iter: 16/896 | topk: 35 | shrink: 30 | sim type: 'cosine' | MAP: 0.0489 |
|UserKNNCB| iter: 17/896 | topk: 35 | shrink: 45 | sim type: 'cosine' | MAP: 0.0472 |
|UserKNNCB| iter: 18/896 | topk: 35 | shrink: 60 | sim type: 'cosine' | MAP: 0.0455 |
|UserKNNCB| iter: 19/896 | topk: 35 | shrink: 75 | sim type: 'cosine' | MAP: 0.0451 |
|UserKNNCB| iter: 20/896 | topk: 35 | shrink: 90 | sim type: 'cosine' | MAP: 0.0439 |
|UserKNNCB| iter: 21/896 | topk: 35 | shrink: 105 | sim type: 'cosine' | MAP: 0.0418 |
|UserKNNCB| iter: 22/896 | topk: 35 | shrink: 120 | sim type: 'cosine' | MAP: 0.0410 |
|UserKNNCB| iter: 23/896 | topk: 35 | shrink: 135 | sim type: 'cosine' | MAP: 0.0396 |
|UserKNNCB| iter: 24/896 | topk: 35 | shrink: 150 | sim type: 'cosine' | MAP: 0.0387 |
|UserKNNCB| iter: 25/896 | topk: 35 | shrink: 165 | sim type: 'cosine' | MAP: 0.0384 |
|UserKNNCB| iter: 26/896 | topk: 35 | shrink: 180 | sim type: 'cosine' | MAP: 0.0373 |
|UserKNNCB| iter: 27/896 | topk: 35 | shrink: 195 | sim type: 'cosine' | MAP: 0.0364 |
|UserKNNCB| iter: 28/896 | topk: 50 | shrink: 0 | sim type: 'cosine' | MAP: 0.0505 |
|UserKNNCB| iter: 29/896 | topk: 50 | shrink: 15 | sim type: 'cosine' | MAP: 0.0488 |
|UserKNNCB| iter: 30/896 | topk: 50 | shrink: 30 | sim type: 'cosine' | MAP: 0.0476 |
|UserKNNCB| iter: 31/896 | topk: 50 | shrink: 45 | sim type: 'cosine' | MAP: 0.0455 |
|UserKNNCB| iter: 32/896 | topk: 50 | shrink: 60 | sim type: 'cosine' | MAP: 0.0442 |
|UserKNNCB| iter: 33/896 | topk: 50 | shrink: 75 | sim type: 'cosine' | MAP: 0.0429 |
|UserKNNCB| iter: 34/896 | topk: 50 | shrink: 90 | sim type: 'cosine' | MAP: 0.0417 |
|UserKNNCB| iter: 35/896 | topk: 50 | shrink: 105 | sim type: 'cosine' | MAP: 0.0404 |
|UserKNNCB| iter: 36/896 | topk: 50 | shrink: 120 | sim type: 'cosine' | MAP: 0.0395 |
|UserKNNCB| iter: 37/896 | topk: 50 | shrink: 135 | sim type: 'cosine' | MAP: 0.0375 |
|UserKNNCB| iter: 38/896 | topk: 50 | shrink: 150 | sim type: 'cosine' | MAP: 0.0365 |
|UserKNNCB| iter: 39/896 | topk: 50 | shrink: 165 | sim type: 'cosine' | MAP: 0.0355 |
|UserKNNCB| iter: 40/896 | topk: 50 | shrink: 180 | sim type: 'cosine' | MAP: 0.0348 |
|UserKNNCB| iter: 41/896 | topk: 50 | shrink: 195 | sim type: 'cosine' | MAP: 0.0343 |
|UserKNNCB| iter: 42/896 | topk: 65 | shrink: 0 | sim type: 'cosine' | MAP: 0.0501 |
|UserKNNCB| iter: 43/896 | topk: 65 | shrink: 15 | sim type: 'cosine' | MAP: 0.0475 |
|UserKNNCB| iter: 44/896 | topk: 65 | shrink: 30 | sim type: 'cosine' | MAP: 0.0456 |
|UserKNNCB| iter: 45/896 | topk: 65 | shrink: 45 | sim type: 'cosine' | MAP: 0.0444 |
|UserKNNCB| iter: 46/896 | topk: 65 | shrink: 60 | sim type: 'cosine' | MAP: 0.0424 |
|UserKNNCB| iter: 47/896 | topk: 65 | shrink: 75 | sim type: 'cosine' | MAP: 0.0417 |
|UserKNNCB| iter: 48/896 | topk: 65 | shrink: 90 | sim type: 'cosine' | MAP: 0.0396 |
|UserKNNCB| iter: 49/896 | topk: 65 | shrink: 105 | sim type: 'cosine' | MAP: 0.0385 |
|UserKNNCB| iter: 50/896 | topk: 65 | shrink: 120 | sim type: 'cosine' | MAP: 0.0370 |
|UserKNNCB| iter: 51/896 | topk: 65 | shrink: 135 | sim type: 'cosine' | MAP: 0.0358 |
|UserKNNCB| iter: 52/896 | topk: 65 | shrink: 150 | sim type: 'cosine' | MAP: 0.0352 |
|UserKNNCB| iter: 53/896 | topk: 65 | shrink: 165 | sim type: 'cosine' | MAP: 0.0344 |
|UserKNNCB| iter: 54/896 | topk: 65 | shrink: 180 | sim type: 'cosine' | MAP: 0.0335 |
|UserKNNCB| iter: 55/896 | topk: 65 | shrink: 195 | sim type: 'cosine' | MAP: 0.0325 |
|UserKNNCB| iter: 56/896 | topk: 80 | shrink: 0 | sim type: 'cosine' | MAP: 0.0488 |
|UserKNNCB| iter: 57/896 | topk: 80 | shrink: 15 | sim type: 'cosine' | MAP: 0.0466 |
|UserKNNCB| iter: 58/896 | topk: 80 | shrink: 30 | sim type: 'cosine' | MAP: 0.0442 |
|UserKNNCB| iter: 59/896 | topk: 80 | shrink: 45 | sim type: 'cosine' | MAP: 0.0425 |
|UserKNNCB| iter: 60/896 | topk: 80 | shrink: 60 | sim type: 'cosine' | MAP: 0.0406 |
|UserKNNCB| iter: 61/896 | topk: 80 | shrink: 75 | sim type: 'cosine' | MAP: 0.0388 |
|UserKNNCB| iter: 62/896 | topk: 80 | shrink: 90 | sim type: 'cosine' | MAP: 0.0378 |
|UserKNNCB| iter: 63/896 | topk: 80 | shrink: 105 | sim type: 'cosine' | MAP: 0.0370 |
|UserKNNCB| iter: 64/896 | topk: 80 | shrink: 120 | sim type: 'cosine' | MAP: 0.0354 |
|UserKNNCB| iter: 65/896 | topk: 80 | shrink: 135 | sim type: 'cosine' | MAP: 0.0344 |
|UserKNNCB| iter: 66/896 | topk: 80 | shrink: 150 | sim type: 'cosine' | MAP: 0.0333 |
|UserKNNCB| iter: 67/896 | topk: 80 | shrink: 165 | sim type: 'cosine' | MAP: 0.0324 |
|UserKNNCB| iter: 68/896 | topk: 80 | shrink: 180 | sim type: 'cosine' | MAP: 0.0315 |
|UserKNNCB| iter: 69/896 | topk: 80 | shrink: 195 | sim type: 'cosine' | MAP: 0.0312 |
|UserKNNCB| iter: 70/896 | topk: 95 | shrink: 0 | sim type: 'cosine' | MAP: 0.0489 |
|UserKNNCB| iter: 71/896 | topk: 95 | shrink: 15 | sim type: 'cosine' | MAP: 0.0451 |
|UserKNNCB| iter: 72/896 | topk: 95 | shrink: 30 | sim type: 'cosine' | MAP: 0.0432 |
|UserKNNCB| iter: 73/896 | topk: 95 | shrink: 45 | sim type: 'cosine' | MAP: 0.0409 |
|UserKNNCB| iter: 74/896 | topk: 95 | shrink: 60 | sim type: 'cosine' | MAP: 0.0386 |
|UserKNNCB| iter: 75/896 | topk: 95 | shrink: 75 | sim type: 'cosine' | MAP: 0.0375 |
|UserKNNCB| iter: 76/896 | topk: 95 | shrink: 90 | sim type: 'cosine' | MAP: 0.0363 |
|UserKNNCB| iter: 77/896 | topk: 95 | shrink: 105 | sim type: 'cosine' | MAP: 0.0350 |
|UserKNNCB| iter: 78/896 | topk: 95 | shrink: 120 | sim type: 'cosine' | MAP: 0.0336 |
|UserKNNCB| iter: 79/896 | topk: 95 | shrink: 135 | sim type: 'cosine' | MAP: 0.0329 |
|UserKNNCB| iter: 80/896 | topk: 95 | shrink: 150 | sim type: 'cosine' | MAP: 0.0323 |
|UserKNNCB| iter: 81/896 | topk: 95 | shrink: 165 | sim type: 'cosine' | MAP: 0.0314 |
|UserKNNCB| iter: 82/896 | topk: 95 | shrink: 180 | sim type: 'cosine' | MAP: 0.0308 |
|UserKNNCB| iter: 83/896 | topk: 95 | shrink: 195 | sim type: 'cosine' | MAP: 0.0299 |
|UserKNNCB| iter: 84/896 | topk: 110 | shrink: 0 | sim type: 'cosine' | MAP: 0.0475 |
|UserKNNCB| iter: 85/896 | topk: 110 | shrink: 15 | sim type: 'cosine' | MAP: 0.0444 |
|UserKNNCB| iter: 86/896 | topk: 110 | shrink: 30 | sim type: 'cosine' | MAP: 0.0420 |
|UserKNNCB| iter: 87/896 | topk: 110 | shrink: 45 | sim type: 'cosine' | MAP: 0.0396 |
|UserKNNCB| iter: 88/896 | topk: 110 | shrink: 60 | sim type: 'cosine' | MAP: 0.0377 |
|UserKNNCB| iter: 89/896 | topk: 110 | shrink: 75 | sim type: 'cosine' | MAP: 0.0359 |
|UserKNNCB| iter: 90/896 | topk: 110 | shrink: 90 | sim type: 'cosine' | MAP: 0.0349 |
|UserKNNCB| iter: 91/896 | topk: 110 | shrink: 105 | sim type: 'cosine' | MAP: 0.0335 |
|UserKNNCB| iter: 92/896 | topk: 110 | shrink: 120 | sim type: 'cosine' | MAP: 0.0326 |
|UserKNNCB| iter: 93/896 | topk: 110 | shrink: 135 | sim type: 'cosine' | MAP: 0.0315 |
|UserKNNCB| iter: 94/896 | topk: 110 | shrink: 150 | sim type: 'cosine' | MAP: 0.0306 |
|UserKNNCB| iter: 95/896 | topk: 110 | shrink: 165 | sim type: 'cosine' | MAP: 0.0297 |
|UserKNNCB| iter: 96/896 | topk: 110 | shrink: 180 | sim type: 'cosine' | MAP: 0.0291 |
|UserKNNCB| iter: 97/896 | topk: 110 | shrink: 195 | sim type: 'cosine' | MAP: 0.0288 |
|UserKNNCB| iter: 98/896 | topk: 125 | shrink: 0 | sim type: 'cosine' | MAP: 0.0461 |
|UserKNNCB| iter: 99/896 | topk: 125 | shrink: 15 | sim type: 'cosine' | MAP: 0.0430 |
|UserKNNCB| iter: 100/896 | topk: 125 | shrink: 30 | sim type: 'cosine' | MAP: 0.0405 |
|UserKNNCB| iter: 101/896 | topk: 125 | shrink: 45 | sim type: 'cosine' | MAP: 0.0387 |
|UserKNNCB| iter: 102/896 | topk: 125 | shrink: 60 | sim type: 'cosine' | MAP: 0.0369 |
|UserKNNCB| iter: 103/896 | topk: 125 | shrink: 75 | sim type: 'cosine' | MAP: 0.0351 |
|UserKNNCB| iter: 104/896 | topk: 125 | shrink: 90 | sim type: 'cosine' | MAP: 0.0336 |
|UserKNNCB| iter: 105/896 | topk: 125 | shrink: 105 | sim type: 'cosine' | MAP: 0.0321 |
|UserKNNCB| iter: 106/896 | topk: 125 | shrink: 120 | sim type: 'cosine' | MAP: 0.0314 |
|UserKNNCB| iter: 107/896 | topk: 125 | shrink: 135 | sim type: 'cosine' | MAP: 0.0304 |
